"anger","anticipation","disgust","fear","joy","sadness","surprise","trust"
0,0,0,0.5,0,0.5,0,0
0,0,0,0,0,0,0,0
0.555555555555556,0.444444444444444,0.444444444444444,0.555555555555556,0.444444444444444,0.666666666666667,0.333333333333333,0.222222222222222
0,0,0,0,0,0,0,0
1,0,1,0,0,1,0,0
0,0.6,0,0,0.6,0.4,0.4,0.4
0.5,1,0.5,1,0,0.5,0,0
0,0,1,1,0,1,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0.5,0,0,0.5,0,0,1
0,1,0,0,0,1,1,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,1,0,0,1,0,1,1
0,1,0,0,0,0,0,0
0.333333333333333,1,0.333333333333333,0.666666666666667,1,0,0.333333333333333,0.666666666666667
0,0.5,0,0,0.5,0,0,0.5
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,1,0,0,1,0,1,1
0,0,0,0,0,0,0,0
0,0.5,1,0.5,0,0.5,0,0.5
1,0,0.5,0.5,0,0.5,0.5,0
0,0,0.333333333333333,0.333333333333333,0.333333333333333,1,0,0
0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1
0.5,0.6,0.2,0.4,0.5,0.3,0.1,0.6
0,1,0.333333333333333,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667,0.333333333333333
0,0.75,0,0.25,0.5,0,0.5,0.25
1,1,1,1,1,1,0,1
0,0.333333333333333,0.666666666666667,0.333333333333333,0.333333333333333,1,0,0
0,0,0,0,0,0,0,1
0,1,0,0,0,0,0,0
0,0.5,0,0,0.5,0,0.5,1
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,1,0,0,1,0,0,0
1,0,1,1,0,1,0,0
0.5,0.5,0,0.5,0,0,0,0
1,0,1,1,0,1,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0.5
0,0,0,1,0,1,0,1
1,1,1,1,0,1,0,0
0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667,0.333333333333333,0.666666666666667
0.333333333333333,0.666666666666667,0.166666666666667,0.333333333333333,0.666666666666667,0.333333333333333,0.5,0.666666666666667
0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0.142857142857143,0.285714285714286,0.142857142857143,0.428571428571429,0.142857142857143,0.571428571428571,0,0.571428571428571
0.25,0.5,0.5,0,0.25,0.5,0,0.5
0,1,0,0,0,0,0,0
0.5,0.25,0.25,0,0.25,0,0,0.5
0,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0
0,0,0,1,0,0.5,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0
0.5,0.5,0.5,1,0,1,0,0.5
0,0.5,0,0,0,0,0,1
0.5,1,0.5,0,1,0,0.5,1
0.333333333333333,0.333333333333333,0.333333333333333,1,0,0.666666666666667,0,0.666666666666667
0,0,0,0,0,0,0,0
0.5,0.5,0.5,1,0.5,1,0,0.5
